,equity,bond,gold
2014-02-07,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-10,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-11,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-12,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-13,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-14,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-18,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-19,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-20,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-21,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-24,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-25,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-26,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-02-28,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-03-03,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-03-04,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-03-05,0.4445971068847331,2.4896042702898072e-20,0.5554028931152669
2014-03-06,0.11416078793094545,0.7,0.18583921206905463
2014-03-07,0.11416078793094545,0.7,0.18583921206905463
2014-03-10,0.11416078793094545,0.7,0.18583921206905463
2014-03-11,0.11416078793094545,0.7,0.18583921206905463
2014-03-12,0.11416078793094545,0.7,0.18583921206905463
2014-03-13,0.11416078793094545,0.7,0.18583921206905463
2014-03-14,0.11416078793094545,0.7,0.18583921206905463
2014-03-18,0.11416078793094545,0.7,0.18583921206905463
2014-03-19,0.11416078793094545,0.7,0.18583921206905463
2014-03-20,0.11416078793094545,0.7,0.18583921206905463
2014-03-21,0.11416078793094545,0.7,0.18583921206905463
2014-03-24,0.11416078793094545,0.7,0.18583921206905463
2014-03-25,0.11416078793094545,0.7,0.18583921206905463
2014-03-26,0.11416078793094545,0.7,0.18583921206905463
2014-03-27,0.11416078793094545,0.7,0.18583921206905463
2014-03-28,0.11416078793094545,0.7,0.18583921206905463
2014-03-31,0.11416078793094545,0.7,0.18583921206905463
2014-04-01,0.11416078793094545,0.7,0.18583921206905463
2014-04-02,0.11416078793094545,0.7,0.18583921206905463
2014-04-03,0.11416078793094545,0.7,0.18583921206905463
2014-04-04,0.18212697086054716,0.7,0.11787302913945284
2014-04-07,0.18212697086054716,0.7,0.11787302913945284
2014-04-09,0.18212697086054716,0.7,0.11787302913945284
2014-04-10,0.18212697086054716,0.7,0.11787302913945284
2014-04-11,0.18212697086054716,0.7,0.11787302913945284
2014-04-15,0.18212697086054716,0.7,0.11787302913945284
2014-04-16,0.18212697086054716,0.7,0.11787302913945284
2014-04-17,0.18212697086054716,0.7,0.11787302913945284
2014-04-21,0.18212697086054716,0.7,0.11787302913945284
2014-04-22,0.18212697086054716,0.7,0.11787302913945284
2014-04-23,0.18212697086054716,0.7,0.11787302913945284
2014-04-25,0.18212697086054716,0.7,0.11787302913945284
2014-04-28,0.18212697086054716,0.7,0.11787302913945284
2014-04-29,0.18212697086054716,0.7,0.11787302913945284
2014-04-30,0.18212697086054716,0.7,0.11787302913945284
2014-05-02,0.18212697086054716,0.7,0.11787302913945284
2014-05-05,0.18212697086054716,0.7,0.11787302913945284
2014-05-06,0.18212697086054716,0.7,0.11787302913945284
2014-05-07,0.18212697086054716,0.7,0.11787302913945284
2014-05-08,0.18212697086054716,0.7,0.11787302913945284
2014-05-09,0.11305799891520765,0.7,0.18694200108479242
2014-05-12,0.11305799891520765,0.7,0.18694200108479242
2014-05-13,0.11305799891520765,0.7,0.18694200108479242
