,CAGR,Ann.Vol,Sharpe,Sortino,MaxDrawdown,Calmar,AvgTurnoverPerRebalance,AnnualizedTurnover
Dynamic (net of costs),0.07768143405514505,0.0585094684129453,0.2828056364312255,0.3144758969270474,-0.15343433521329153,0.506284554543537,0.007095415555162941,0.3576089439802122
Dynamic (no costs),0.08057806775466969,0.058458923397335154,0.3289296725656741,0.36572831799119315,-0.15255061840079243,0.5282054481284956,0.007095415555162941,0.3576089439802122
Static 60/40,0.09068853429610257,0.09641291165883198,0.3266178602440062,0.4076139433668264,-0.24667208818367625,0.36764813953565084,,
Equal-Weight,0.10104816925390891,0.07313993990249203,0.53270674121203,0.6738101796772826,-0.15914541688228523,0.6349423768115862,,
