,Bull,Bear,Crisis
Bull,0.981597822396903,0.018402009384183137,1.6821891386589347e-07
Bear,0.014824166651034596,0.9743565288789787,0.010819304469986734
Crisis,3.0431859212280954e-06,0.029892689666693745,0.9701042671473851
