date,return
2014-02-07,0.002562403515182581
2014-02-10,0.002557607662061911
2014-02-11,0.0027885740497301434
2014-02-12,0.0010763192822147985
2014-02-13,-0.00687149499864605
2014-02-14,0.006461122991309895
2014-02-18,0.01548300654712265
2014-02-19,0.002599375028299331
2014-02-20,-0.00570014218327977
2014-02-21,0.00226984525664004
2014-02-24,0.004771997954100479
2014-02-25,-0.00033870571982505624
2014-02-26,0.003733508139510542
2014-02-28,0.001755839781987218
2014-03-03,-0.0017291610665443788
2014-03-04,0.0022837468089006163
2014-03-05,0.0003322380600187997
2014-03-06,-0.00044261715717268586
2014-03-07,0.002011260655123886
2014-03-10,-0.0008922491621585447
2014-03-11,-0.0001478906390122883
2014-03-12,0.0006366354261387727
2014-03-13,-0.0001457889537930963
2014-03-14,0.0011599276261737234
2014-03-18,-0.0013513336518864163
2014-03-19,-0.0012537802510316821
2014-03-20,-0.0032028374264766804
2014-03-21,0.0007305087652830491
2014-03-24,-0.000540782388046009
2014-03-25,-0.001783391734230527
2014-03-26,2.2607213503114692e-05
2014-03-27,-0.0005369340069125048
2014-03-28,0.0011732121753956016
2014-03-31,0.005252129354991254
2014-04-01,-0.0017316136429981113
2014-04-02,-0.0022995466297978957
2014-04-03,0.0014449728626333177
2014-04-04,-0.00111561547388588
2014-04-07,0.00019809681100670391
2014-04-09,0.003436555816811642
2014-04-10,0.001164833326510022
2014-04-11,-0.0006778254621198174
2014-04-15,-4.186093501610069e-05
2014-04-16,-0.001593686290805775
2014-04-17,0.0032307490065026545
2014-04-21,0.00150493087322564
2014-04-22,0.0009109327201423695
2014-04-23,0.0010750745743351323
2014-04-25,-0.0008869651230396199
2014-04-28,-0.00041326527078667
2014-04-29,0.0018056852915361772
2014-04-30,-0.0009244367549084108
2014-05-02,-0.00012179236830553119
2014-05-05,0.000566233758623958
2014-05-06,0.0005517116387738615
2014-05-07,-0.0015944037072759417
2014-05-08,-0.0007579223804989896
2014-05-09,0.0023649948138440946
2014-05-12,0.00221399401566682
2014-05-13,0.0005743797853888616
2014-05-14,-0.00024514426881578423
2014-05-15,4.137022022949441e-05
2014-05-16,-0.0012348426364544682
2014-05-19,0.00024096573427154802
2014-05-20,-0.00022978345079053669
2014-05-21,-0.0010129570610888433
2014-05-22,-0.0037507751442704285
2014-05-23,0.0018061307652408158
2014-05-26,0.00019636631056792572
2014-05-27,-0.0016342102128719686
2014-05-28,-0.0006818463230635162
2014-05-29,-0.0038696474548675407
2014-05-30,0.0033273952000806464
2014-06-02,0.0026781384136166718
2014-06-03,0.0013580514865467615
2014-06-04,-0.0005354313399352356
2014-06-05,0.0014531024554778021
2014-06-06,0.0026985339138650977
2014-06-09,0.0012680418694437877
2014-06-10,0.0002619749243604569
2014-06-11,5.07869422414121e-05
2014-06-12,0.0005707001427432933
2014-06-13,-0.0011854574028234508
2014-06-16,0.002074748855443123
2014-06-17,0.0010938246138052976
2014-06-18,-0.0012584982710022053
2014-06-19,0.00010164096336666537
2014-06-20,0.0019626816594602472
2014-06-23,-0.0005252562797140312
2014-06-24,0.0026194991538687046
2014-06-25,-0.0009566177569804721
2014-06-26,-0.0016722611526983088
2014-06-27,9.807297152121498e-05
2014-06-30,0.006168766575107032
2014-07-01,0.0005960119175908755
2014-07-02,0.001598759343686381
2014-07-03,-0.0010259363172482941
2014-07-04,0.0008599496826809418
2014-07-07,9.586738560385106e-05
2014-07-08,-0.0038415431764619607
2014-07-09,-0.000558728087709301
2014-07-10,0.0025964464418815796
2014-07-11,-0.0029335961187887355
2014-07-14,-0.0008746382948702096
2014-07-15,0.0010744663033379843
2014-07-16,0.001532425509944805
2014-07-17,0.0006890565820068405
2014-07-18,0.0010558840936398086
2014-07-21,0.0004722872572274523
2014-07-22,0.00146978429426742
2014-07-23,0.00032512830113802955
2014-07-24,0.00024723410642036995
2014-07-25,-0.0016584371972552018
2014-07-28,0.0002367250473181982
2014-07-30,0.0005859894347070079
